route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,exceptional,sub_agency_id
L1,1111100-11,1_6284_230515,"Vozovna Kobylisy",,1,,L1V8,1,0,1,1
L1,1111100-11,1_6285_230515,"Sídliště Ďáblice",,0,,L1V7,2,0,1,1
L1,1111100-11,1_6870_230515,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-11,1_6287_230515,"Sídliště Ďáblice",,0,,L1V2,2,0,0,1
L1,1111100-11,1_6288_230515,"Vozovna Kobylisy",,1,,L1V8,2,0,1,1
L1,1111100-11,1_7247_230515,"Sídliště Ďáblice",,0,,L1V7,2,0,1,1
L1,1111100-11,1_6871_230515,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-11,1_6291_230515,"Sídliště Ďáblice",,0,,L1V2,2,0,0,1
L1,1111100-11,1_6872_230515,"Sídliště Petřiny",,1,,L1V3,2,0,0,1
L1,1111100-11,1_6293_230515,"Sídliště Ďáblice",,0,,L1V2,2,0,0,1
L1,1111100-11,1_3490_230515,"Vozovna Kobylisy",,1,,L1V8,2,0,1,1
L2,1111100-11,2_5974_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7224_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7225_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7226_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7227_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7228_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7229_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7230_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7231_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7232_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7233_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7234_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7235_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_5839_230515,"Vozovna Vokovice",,0,,L1V6,2,0,1,1
L2,1111100-11,2_5912_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7236_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7237_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7238_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7239_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_5840_230515,"Vozovna Vokovice",,0,,L1V6,2,0,1,1
L2,1111100-11,2_7240_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7241_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7242_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7243_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7244_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7245_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7246_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_5914_230515,"Vozovna Vokovice",,0,,L1V6,2,0,1,1
L2,1111100-11,2_7247_230515,"Nádraží Braník",,0,,L92V7,2,2,1,1
L2,1111100-11,2_7248_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7249_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7250_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7251_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7252_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7253_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7254_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7255_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7256_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7257_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7258_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7259_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_5915_230515,"Vozovna Strašnice",,1,,L2V13,2,2,1,1
L2,1111100-11,2_7260_230515,"Nádraží Braník",,0,,L92V7,2,2,1,1
L2,1111100-11,2_7261_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7262_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7263_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7264_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7265_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7266_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7267_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7268_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7269_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7270_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7271_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7272_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7273_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7274_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_6225_230515,"Vozovna Strašnice",,1,,L2V13,2,2,1,1
L2,1111100-11,2_7275_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7276_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7277_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_2996_230515,"Vozovna Vokovice",,0,,L1V6,2,0,1,1
L2,1111100-11,2_7278_230515,"Sídliště Petřiny",,1,,L2V1,2,0,1,1
L2,1111100-11,2_7279_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7280_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111100-11,2_7281_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111100-11,2_7282_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111111-41,2_7283_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111111-41,2_7284_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111111-41,2_7285_230515,"Nádraží Braník",,0,,L2V18,2,2,0,1
L2,1111111-41,2_7286_230515,"Sídliště Petřiny",,1,,L2V19,2,0,0,1
L2,1111111-41,2_6254_230515,"Vozovna Vokovice",,0,,L1V6,2,0,1,1
