route_id,direction_id,stop_id,stop_sequence
L8,0,U439Z1P,14
L8,0,U87Z1P,15
L8,0,U480Z1P,16
L8,0,U32Z2P,17
L8,0,U689Z2P,18
L8,0,U854Z2P,19
L8,0,U758Z2P,20
L8,0,U816Z2P,21
L8,0,U655Z2P,22
L8,0,U529Z2P,23
L8,0,U12Z2P,24
L8,0,U1075Z2P,25
L8,0,U348Z2P,26
L8,0,U134Z2P,27
L8,0,U1401Z2P,28
L8,0,U691Z2P,29
L8,0,U775Z2P,30
L8,0,U755Z2P,31
L8,0,U144Z6P,32
L9,1,U694Z1P,1
L9,1,U266Z1P,2
L9,1,U180Z1P,3
L9,1,U714Z1P,4
L9,1,U837Z1P,5
L9,1,U512Z1P,6
L9,1,U34Z1P,7
L9,1,U469Z1P,8
L9,1,U469Z3P,9
L9,1,U586Z1P,10
L9,1,U516Z1P,11
L9,1,U339Z1P,12
L9,1,U172Z1P,13
L9,1,U142Z1P,14
L9,1,U203Z1P,15
L9,1,U1072Z1P,16
L9,1,U484Z1P,17
L9,1,U997Z1P,18
L9,1,U539Z2P,19
L9,1,U483Z2P,20
L9,1,U809Z4P,21
L9,1,U481Z2P,22
L9,1,U4Z2P,23
L9,1,U1040Z2P,24
L9,1,U25Z2P,25
L9,1,U805Z2P,26
L9,1,U254Z2P,27
L9,1,U240Z2P,28
L9,1,U289Z2P,29
L9,1,U580Z2P,30
L9,1,U567Z2P,31
L9,1,U865Z2P,32
L9,1,U394Z2P,33
L9,1,U395Z2P,34
L9,1,U113Z2P,35
L9,1,U236Z2P,36
L9,1,U47Z2P,37
L9,1,U612Z12P,38
L9,0,U612Z3P,1
L9,0,U47Z1P,2
L9,0,U236Z1P,3
L9,0,U113Z1P,4
L9,0,U395Z1P,5
L9,0,U394Z1P,6
L9,0,U865Z1P,7
L9,0,U567Z1P,8
L9,0,U580Z1P,9
L9,0,U289Z1P,10
L9,0,U240Z1P,11
L9,0,U254Z1P,12
L9,0,U805Z1P,13
L9,0,U25Z1P,14
L9,0,U1040Z1P,15
L9,0,U4Z1P,16
L9,0,U481Z1P,17
L9,0,U809Z2P,18
L9,0,U483Z1P,19
